sample_id,track,label,context_limited,method,detected,judge_reason,api_calls,latency_seconds,total_tokens
Sample001,security,SQL_INJECTION,False,zero_shot,True,"The report explicitly identifies the SQL injection vulnerability due to unsanitized user input concatenated into the SQL query, provides the exact vulnerable line as evidence, and recommends using parameterized queries (PreparedStatement). This matches the target defect description.",1,7.244,300
Sample001,security,SQL_INJECTION,False,single_step,True,"The report lists SQL injection as the first issue, correctly identifies that user input is directly concatenated into the SQL query, and provides a corrected code using PreparedStatement with parameterized queries. The explanation is technically correct and matches the target defect.",1,5.924,730
Sample001,security,SQL_INJECTION,False,three_stage,True,"The report identifies SQL injection as the primary issue, explains that user-supplied parameters are concatenated directly into the SQL query without sanitization or parameterization, and provides a repair using PreparedStatement. The evidence and repair strategy are technically correct and match the target defect.",3,12.487,2221
Sample002,security,SQL_INJECTION,False,zero_shot,True,"Correctly identifies SQL injection due to direct concatenation of xingming into SQL query, and recommends parameterized query.",1,2.179,504
Sample002,security,SQL_INJECTION,False,single_step,True,"Correctly identifies SQL injection as primary root cause, with direct concatenation evidence and parameterized query fix.",1,8.743,1226
Sample002,security,SQL_INJECTION,False,three_stage,True,Correctly identifies SQL injection vulnerability with evidence of concatenation and provides parameterized query repair using CONCAT.,3,11.63,2581
Sample003,correctness,RESOURCE_LEAK,False,zero_shot,False,"The report focuses on SQL injection vulnerability and use of Statement vs PreparedStatement, but does not identify the resource leak (unclosed Connection, Statement, ResultSet) as the primary issue. It mentions 'resource leak' only in passing as a secondary issue in the single-step report, not in zero_shot.",1,2.598,478
Sample003,correctness,RESOURCE_LEAK,False,single_step,True,"The report explicitly lists 'Resource leak: Connection, Statement, and ResultSet are not closed' as an issue and recommends using try-with-resources to fix it. This correctly identifies the target defect with a technically sound explanation.",1,6.771,1021
Sample003,correctness,RESOURCE_LEAK,False,three_stage,True,"The report clearly identifies the resource leak as the primary issue, explains that Connection, Statement, and ResultSet are never closed, and provides a repair strategy using try-with-resources. The explanation is technically correct and matches the target defect.",3,17.303,2995
Sample004,correctness,SQL_SYNTAX_ERROR,False,zero_shot,True,"The report explicitly identifies the missing comma between 'name = ?' and 'pass = ?' in the UPDATE statement, which matches the target defect description.",1,1.879,392
Sample004,correctness,SQL_SYNTAX_ERROR,False,single_step,True,"The report lists the missing comma as the primary issue and provides a corrected SQL string with the comma added, correctly addressing the target defect.",1,6.356,923
Sample004,correctness,SQL_SYNTAX_ERROR,False,three_stage,True,"The report clearly states the missing comma between column assignments and provides a repair strategy and corrected code that inserts the comma, matching the target defect.",3,9.998,2199
Sample005,correctness,FIELD_MAPPING_ERROR,False,zero_shot,True,"The report correctly identifies that the column order in the INSERT statement does not match the parameter setting order, specifically pointing out that columns 3 (xingming) and 5 (zhuanye) are swapped, which matches the target defect description.",1,2.546,463
Sample005,correctness,FIELD_MAPPING_ERROR,False,single_step,True,"The report correctly identifies the column order mismatch, stating that the setString calls assign values in a different order than the SQL column order, resulting in zhuanye being stored in xingming and xingming in zhuanye, which matches the target defect.",1,8.296,1050
